start_time,20221027-000623
Nifft,128
Ncarrier,128
qAry,2
Symbol_len,128
Symbol_num,1
ldpc_rate,0.5
L,16
PathGain,1.0,0.94,0.88,0.82,0.76,0.7,0.6399999999999999,0.58,0.52,0.45999999999999996,0.3999999999999999,0.33999999999999997,0.2799999999999999,0.21999999999999997,0.15999999999999992,0.1
SNR,-20.0,-17.5,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,0.0,2.5,5.0,7.5,10.0
ErrorFrame,20
TestFrame,5000
Encode_method,
ncodebooks,64
ncentroids,16
matmul_method,MAD-LDPC-IDFT(K=16 C=64),
SNR,BER,FER,NMSE_dft,NMSE_idft,H_NMSE,rawH_NMSE
-20.0,0.46796875,1.0,7.10247364025005e-32,2.597270286358009,0.5542275446929892,0.7812765611211132
-17.5,0.444921875,1.0,7.101638160626686e-32,1.3882025665790343,0.4736270322606506,0.6696588858157057
-15.0,0.427734375,1.0,7.507835476461053e-32,0.8426058983672153,0.35580168718681404,0.47800441608457617
-12.5,0.37578125,1.0,7.600664072275126e-32,0.5099230579220703,0.2648499854676644,0.3323484580795102
-10.0,0.346484375,1.0,6.517235034692086e-32,0.2609163734139582,0.18700129662341963,0.24920041657089068
-7.5,0.244140625,1.0,7.373298386363806e-32,0.1516916613599535,0.12025837652231146,0.15440278266581403
-5.0,0.11787683823529412,0.5882352941176471,7.314142214798706e-32,0.09565635605009964,0.08275810312281019,0.11502682146395089
-2.5,0.023809523809523808,0.15873015873015872,7.799954430749655e-32,0.06441778459856672,0.062164769044557554,0.07954859910489956
0.0,0.0026915015243902437,0.01524390243902439,7.540510569280647e-32,0.04820389900914937,0.04889114140977003,0.0601964566076273
2.5,0.0001578125,0.0008,7.459652188487905e-32,0.04158234468539043,0.042270296637462686,0.04874035006497649
5.0,0.0,0.0,7.490654675334857e-32,0.038023160677184815,0.03878880139842001,0.04264040405272748
7.5,0.0,0.0,7.455002346086783e-32,0.03581790720215896,0.036431678401693486,0.038531712763216604
10.0,0.0,0.0,7.469853159043963e-32,0.03437041492904607,0.03484916009695803,0.03606493633896102
stop_time,20221027-050650
